text,label,label_text
"On cessation of the injections, the retrocorneal membrane grew rapidly to involve the entire posterior cornea.",0,Not-Related
Median patient age was 52 years.,0,Not-Related
A whole brain irradiation was performed for 37.5Gy with a fraction size of 2.5Gy and gefitinib was replaced with erlotinib on the 5th day after radiation therapy commenced for disease progressing.,0,Not-Related
Complex biochemical syndrome of hypocalcemia and hypoparathyroidism during cytotoxic treatment of an infant with leukemia.,0,Not-Related
The fastidious organism grew only on buffered charcoal yeast extract agar and was confirmed as L. micdadei by gene sequence analysis.,0,Not-Related
A patient who developed necrotizing pancreatitis after transcatheter arterial chemoembolization (TACE) for hepatocellular carcinoma (HCC) is presented.,0,Not-Related
RESULTS: Evidence of neurological improvement and rehabilitation potential after severe myelopathy due to intrathecal injection of doxorubicin.,1,Related
"Diagnosis is often difficult and is typically only made in patients without another explanation for deteriorating renal function, and is often based solely on improvement after drug withdrawal.",0,Not-Related
An associated finding included a 2+ positive antinuclear antibody test with a titer of 1:320.,0,Not-Related
"Patients in the intensive care unit seldom have mechanical small-bowel obstruction, and obstruction due to medication bezoars is even less common.",0,Not-Related
CONCLUSION: This observation suggests that IFN in combination with ribavirin may offer an effective therapeutic option for liver transplant patients with severe recurrent hepatitis C.,0,Not-Related
NCSE has not previously been reported in LBD.,0,Not-Related
A less frequent side effect that is becoming more recognized is neurologic toxicity.,0,Not-Related
The catheter had no blood return from either lumen for >1 month.,0,Not-Related
"Our cases constitute the most severe cases of benzarone hepatotoxicity reported so far, and comprise the first cases of (sub)fulminant hepatitis and cirrhosis related to benzarone.",1,Related
CONCLUSIONS: Cough has been encountered commonly after the administration of ACE inhibitors.,0,Not-Related
We discuss the limitations of conventional drug therapy and the lack of a sustained response to plasmapheresis.,0,Not-Related
There was also an improvement of the mesenteric arterial flow patterns on Doppler studies.,0,Not-Related
"Especially in small prostates, care should be taken to avoid this condition.",0,Not-Related
We describe two patients who developed hypophosphatemia as a consequence of this form of therapy.,0,Not-Related
A patient with disseminated herpes zoster developed a syndrome of inappropriate antidiuretic hormone and profound hyponatremia secondary to the administration of adenine arabinoside.,1,Related
Both patients had received brief courses of spironolactone before arginine treatment.,0,Not-Related
Dermatologic exam demonstrated a severe reduction of fat tissue.,0,Not-Related
"Vitamin D toxicity complicating the treatment of senile, postmenopausal, and glucocorticoid-induced osteoporosis.",0,Not-Related
Ulcerative proctitis in juvenile systemic lupus erythematosus after ibuprofen treatment.,1,Related
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",1,Related
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",1,Related
Traditional risk factor analysis and screening were performed.,0,Not-Related
